id,filename,genre,artist
1,Abstract_Expressionism/paul-jenkins_phenomena-tarot-over.jpg,Abstract Expressionism,paul jenkins
2,Abstract_Expressionism/jackson-pollock_moon-woman-1942(1).jpg,Abstract Expressionism,jackson pollock
3,Abstract_Expressionism/richard-pousette-dart_circle-by-the-falling-waters-1980.jpg,Abstract Expressionism,richard pousette dart
4,Abstract_Expressionism/adnan-coker_unknown-title(3).jpg,Abstract Expressionism,adnan coker
5,Abstract_Expressionism/gene-davis_composition-i-1949.jpg,Abstract Expressionism,gene davis
6,Abstract_Expressionism/jackson-pollock_man-with-knife-1940(1).jpg,Abstract Expressionism,jackson pollock
7,Abstract_Expressionism/barnett-newman_untitled-1945-1.jpg,Abstract Expressionism,barnett newman
8,Abstract_Expressionism/norman-bluhm_excalibur-1960.jpg,Abstract Expressionism,norman bluhm
9,Abstract_Expressionism/william-baziotes_red-landscape-1957.jpg,Abstract Expressionism,william baziotes
10,Abstract_Expressionism/alice-baber_abstract-composition-1969-1.jpg,Abstract Expressionism,alice baber
11,Abstract_Expressionism/sam-francis_untitled-1978-1.jpg,Abstract Expressionism,sam francis
12,Abstract_Expressionism/sam-francis_hail-hailey-1986.jpg,Abstract Expressionism,sam francis
13,Abstract_Expressionism/paul-jenkins_phenomena-phoenix-equinox(1).jpg,Abstract Expressionism,paul jenkins
14,Abstract_Expressionism/joan-mitchell_sunflowers-1991.jpg,Abstract Expressionism,joan mitchell
15,Abstract_Expressionism/brice-marden_aphrodite-study-1993.jpg,Abstract Expressionism,brice marden
16,Abstract_Expressionism/craig-kauffman_untitled-1958.jpg,Abstract Expressionism,craig kauffman
17,Abstract_Expressionism/sam-francis_blue-frame-1976.jpg,Abstract Expressionism,sam francis
18,Abstract_Expressionism/joan-miro_the-song-of-the-vowels.jpg,Abstract Expressionism,joan miro
19,Abstract_Expressionism/mark-tobey_they-ve-come-back.jpg,Abstract Expressionism,mark tobey
20,Abstract_Expressionism/theodoros-stamos_untitled-1963.jpg,Abstract Expressionism,theodoros stamos
21,Abstract_Expressionism/sam-francis_beaudelaire-1986.jpg,Abstract Expressionism,sam francis
22,Abstract_Expressionism/salvador-dali_raphaelesque-hallucination.jpg,Abstract Expressionism,salvador dali
23,Abstract_Expressionism/sam-francis_and-pink-1973.jpg,Abstract Expressionism,sam francis
24,Abstract_Expressionism/john-ferren_greenock-1958.jpg,Abstract Expressionism,john ferren
25,Abstract_Expressionism/pat-lipsky_sun-ray-1980.jpg,Abstract Expressionism,pat lipsky
26,Abstract_Expressionism/richard-diebenkorn_berkeley-no-13.jpg,Abstract Expressionism,richard diebenkorn
